Line,Count,Record,Win Percent,Avg MOV,Cover Record,Cover Percent
-1,345,171-174-0,49.60%,0.24,161-174-10,48.10%
-1.5,306,157-149-0,51.30%,1.07,147-159-0,48.00%
-2,249,131-118-0,52.60%,1.55,122-124-3,49.60%
-2.5,553,284-269-0,51.40%,1.06,261-292-0,47.20%
-3,818,487-331-0,59.50%,3.35,387-377-54,50.70%
-3.5,603,370-233-0,61.40%,4.1,295-308-0,48.90%
-4,385,236-149-0,61.30%,4.1,184-190-11,49.20%
-4.5,312,192-120-0,61.50%,4.94,150-162-0,48.10%
-5,188,118-70-0,62.80%,4.05,84-99-5,45.90%
-5.5,277,183-94-0,66.10%,5.1,147-130-0,53.10%
-6,353,246-107-0,69.70%,7.78,188-157-8,54.50%
-6.5,522,358-164-0,68.60%,6.49,270-252-0,51.70%
-7,624,422-202-0,67.60%,7,261-323-40,44.70%
-7.5,438,305-133-0,69.60%,8.03,205-233-0,46.80%
-8,166,118-48-0,71.10%,7.97,78-86-2,47.60%
-8.5,222,169-53-0,76.10%,10.06,118-104-0,53.20%
-9,171,136-35-0,79.50%,9.84,72-98-1,42.40%
-9.5,279,201-78-0,72.00%,9.09,145-134-0,52.00%
-10,387,283-104-0,73.10%,9.17,171-204-12,45.60%
-10.5,292,222-70-0,76.00%,11.8,146-146-0,50.00%
-11,197,149-48-0,75.60%,13.08,102-92-3,52.60%
-11.5,182,153-29-0,84.10%,12.29,89-93-0,48.90%
-12,158,130-28-0,82.30%,13.29,83-73-2,53.20%
-12.5,177,132-45-0,74.60%,12.15,87-90-0,49.20%
-13,201,157-44-0,78.10%,13.88,94-105-2,47.20%
-13.5,277,230-47-0,83.00%,14.06,147-130-0,53.10%
-14,398,339-59-0,85.20%,14.54,194-192-12,50.30%
-14.5,263,221-42-0,84.00%,15.1,129-134-0,49.00%
-15,115,95-20-0,82.60%,15,60-53-2,53.10%
-15.5,133,112-21-0,84.20%,16.64,68-65-0,51.10%
-16,131,111-20-0,84.70%,16.69,67-63-1,51.50%
-16.5,201,184-17-0,91.50%,17.01,101-100-0,50.20%
-17,308,282-26-0,91.60%,18.11,158-135-15,53.90%
-17.5,181,163-18-0,90.10%,17.34,80-101-0,44.20%
-18,122,114-8-0,93.40%,20.31,64-56-2,53.30%
-18.5,106,96-10-0,90.60%,18.57,49-57-0,46.20%
-19,91,87-4-0,95.60%,19.74,40-49-2,44.90%
-19.5,103,90-13-0,87.40%,18.4,46-57-0,44.70%
-20,158,151-7-0,95.60%,22.4,89-63-6,58.60%
-20.5,145,131-14-0,90.30%,21.03,79-66-0,54.50%
-21,185,172-13-0,93.00%,21.71,91-82-12,52.60%
-21.5,143,135-8-0,94.40%,21.04,70-73-0,49.00%
-22,67,61-6-0,91.00%,22.13,36-30-1,54.50%
-22.5,76,71-5-0,93.40%,24.42,44-32-0,57.90%
-23,112,107-5-0,95.50%,25.25,67-44-1,60.40%
-23.5,112,104-8-0,92.90%,25.24,66-46-0,58.90%
-24,161,154-7-0,95.70%,23.78,74-81-6,47.70%
-24.5,95,91-4-0,95.80%,25.38,55-40-0,57.90%
-25,82,78-4-0,95.10%,28.88,47-30-5,61.00%
-25.5,63,61-2-0,96.80%,25.57,27-36-0,42.90%
-26,84,82-2-0,97.60%,24.9,39-42-3,48.10%
-26.5,52,49-3-0,94.20%,24.9,27-25-0,51.90%
-27,101,98-3-0,97.00%,27.37,51-49-1,51.00%
-27.5,100,94-6-0,94.00%,26.22,48-52-0,48.00%
-28,122,118-4-0,96.70%,29.74,67-49-6,57.80%
-28.5,85,81-4-0,95.30%,27.8,41-44-0,48.20%
-29,53,51-2-0,96.20%,30.02,26-27-0,49.10%
-29.5,50,48-2-0,96.00%,30.34,25-25-0,50.00%
-30,72,70-2-0,97.20%,31.71,35-35-2,50.00%
-30.5,49,49-0-0,100.00%,29.51,24-25-0,49.00%
-31,75,73-2-0,97.30%,29.83,34-38-3,47.20%
-31.5,58,58-0-0,100.00%,30.91,27-31-0,46.60%
-32,46,46-0-0,100.00%,33.15,23-23-0,50.00%
-32.5,32,31-1-0,96.90%,29.13,11-21-2000,34.40%
-33,43,42-1-0,97.70%,32.93,21-22-0,48.80%
-33.5,50,49-1-0,98.00%,31.36,22-28-0,44.00%
-34,53,53-0-0,100.00%,33,25-26-2,49.00%
-34.5,59,58-1-0,98.30%,33.51,28-31-0,47.50%
-35,55,55-0-0,100.00%,35.64,33-19-3,63.50%
-35.5,26,26-0-0,100.00%,34.23,13-13-0,50.00%
-36,30,30-0-0,100.00%,38.47,15-14-1,51.70%
-36.5,32,32-0-0,100.00%,39.09,15-17-0,46.90%
-37,31,30-1-0,96.80%,34.26,10-18-2003,35.70%
-37.5,41,40-1-0,97.60%,36.15,20-21-0,48.80%
-38,33,33-0-0,100.00%,38.39,16-17-0,48.50%
-38.5,32,32-0-0,100.00%,40.81,20-12-0,62.50%
-39,29,29-0-0,100.00%,43.1,17-10-2,63.00%
-39.5,26,26-0-0,100.00%,41.92,13-13-0,50.00%
-40,24,24-0-0,100.00%,36.83,11-13-2000,45.80%
