Week,Strategy Bins,Strategy Point Values,Strategy Total Points Wagered,Strategy Times Each Point Wagered,Strategy Mean,Strategy Median,Strategy Std,Strategy RAR
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[3, 3, 9, 10, 10]",64,"{3: 12, 9: 2, 10: 1}",24.1,28.0,16.6,1.4
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[1, 5, 7, 10, 10]",72,"{1: 3, 5: 9, 7: 2, 10: 1}",26.2,28.0,19.1,1.4
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[2, 4, 6, 8, 10]",62,"{2: 3, 4: 9, 6: 2, 8: 1}",21.9,22.0,15.3,1.4
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[1, 3, 6, 10, 10]",52,"{1: 3, 3: 9, 6: 2, 10: 1}",20.7,22.0,13.5,1.5
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[1, 3, 7, 10, 10]",54,"{1: 3, 3: 9, 7: 2, 10: 1}",21.9,24.0,14.3,1.5
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[1, 1, 9, 10, 10]",40,"{1: 12, 9: 2, 10: 1}",19.3,22.7,13.3,1.5
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[6, 6, 6, 10, 10]",94,"{6: 14, 10: 1}",23.9,31.3,30.1,0.8
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[10, 10, 10, 10, 10]",150,{10: 15},10.6,30.0,66.1,0.2
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[1, 5, 10, 10, 10]",78,"{1: 3, 5: 9, 10: 3}",29.2,33.3,22.0,1.3
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[3, 3, 3, 10, 10]",52,"{3: 14, 10: 1}",17.5,16.0,12.9,1.4
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[2, 4, 8, 10, 10]",68,"{2: 3, 4: 9, 8: 2, 10: 1}",25.2,28.0,17.4,1.5
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[2, 5, 9, 10, 10]",79,"{2: 3, 5: 9, 9: 2, 10: 1}",28.1,31.0,21.5,1.3
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[2, 5, 8, 10, 10]",77,"{2: 3, 5: 9, 8: 2, 10: 1}",27.2,29.0,20.8,1.3
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[3, 4, 8, 10, 10]",71,"{3: 3, 4: 9, 8: 2, 10: 1}",25.1,27.0,18.1,1.4
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[1, 4, 8, 10, 10]",65,"{1: 3, 4: 9, 8: 2, 10: 1}",25.3,27.0,17.0,1.5
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[1, 4, 9, 10, 10]",67,"{1: 3, 4: 9, 9: 2, 10: 1}",26.3,29.0,17.8,1.5
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[1, 5, 9, 10, 10]",76,"{1: 3, 5: 9, 9: 2, 10: 1}",28.2,32.0,21.1,1.3
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[2, 3, 9, 10, 10]",61,"{2: 3, 3: 9, 9: 2, 10: 1}",24.1,25.7,16.0,1.5
3,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[1, 3, 9, 10, 10]",58,"{1: 3, 3: 9, 9: 2, 10: 1}",24.0,26.0,15.8,1.5
4,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[1, 4, 9, 10, 10]",50,"{1: 5, 4: 9, 9: 1}",15.0,16.0,14.2,1.1
4,"[0.0, 0.6, 0.7, 0.8, 0.9, 1.0]","[5, 5, 5, 5, 5]",75,{5: 15},15.9,15.0,21.4,0.7
4,"[0.0, 0.55, 0.6, 0.65, 0.75, 1.0]","[1, 2, 4, 6, 8]",58,"{1: 4, 2: 1, 4: 4, 6: 6}",17.3,18.0,16.1,1.1
4,"[0.0, 0.55, 0.6, 0.65, 0.75, 1.0]","[2, 3, 5, 7, 9]",73,"{2: 4, 3: 1, 5: 4, 7: 6}",20.1,21.0,21.1,0.9
4,"[0.0, 0.55, 0.6, 0.65, 0.75, 1.0]","[1, 1, 6, 6, 9]",65,"{1: 5, 6: 10}",18.7,21.0,18.9,1.0
4,"[0.0, 0.55, 0.6, 0.65, 0.75, 1.0]","[1, 1, 6, 8, 9]",77,"{1: 5, 6: 4, 8: 6}",22.1,25.0,25.0,0.9
4,"[0.0, 0.55, 0.6, 0.65, 0.75, 1.0]","[1, 3, 4, 5, 9]",53,"{1: 4, 3: 1, 4: 4, 5: 6}",15.1,15.0,14.2,1.1
4,"[0.0, 0.55, 0.6, 0.65, 0.7, 1.0]","[1, 2, 4, 5, 8]",55,"{1: 4, 2: 1, 4: 4, 5: 5, 8: 1}",16.5,17.0,15.3,1.1
4,"[0.0, 0.55, 0.6, 0.65, 0.7, 1.0]","[1, 2, 3, 4, 5]",43,"{1: 4, 2: 1, 3: 4, 4: 5, 5: 1}",12.4,13.0,11.5,1.1
